Gender,College,Income,Carrier,Mate,Aircon,Refrig,Parking,Freshmarket,Restaurant,Laundry,Clean_service,Rental_fee,Cost_utilities,Size,Distance,Security,Can_pet,Can_cook,Name,Rental_fee_REAL,Zone
Female,Liberal_art,Low,No,1,High,Little,Little,Little,High,Medium,Not,High,Medium,Medium,High,High,Not,Little,??????,Medium,Kekingam
Female,Liberal_art,Low,Motorcycle,1,High,Medium,High,High,High,Medium,Little,High,High,High,High,High,Medium,Medium,???????,Medium,RNP
Male,Industry_ed,Medium,Car,1,High,High,High,Little,Little,Little,Little,High,Medium,Medium,Little,Medium,Little,Little,Garden home,Medium,Nikhom
LGBT,Architecture,Medium,No,0,High,High,Not,Little,High,High,Medium,High,High,Medium,High,High,Not,Medium,Rnp place,Medium,RNP
Female,Engineering,Medium,Motorcycle,0,High,Little,High,Little,Little,Little,Little,High,High,High,Medium,High,Little,Little,?????????????,Medium,RNP
Female,Engineering,Medium,Motorcycle,0,High,High,High,Little,Medium,Medium,Little,High,High,High,High,High,Little,Medium,2SON,Medium,RNP
Female,Engineering,Medium,Car,1,High,High,High,Not,High,High,Medium,Medium,Medium,High,High,High,High,High,Papa mama apartment,Medium,RNP
Female,Engineering,Medium,Motorcycle,1,High,High,High,Medium,Medium,High,Medium,High,Medium,High,Medium,High,Medium,High,AJ PARK,Medium,RNP
Female,Engineering,Medium,Motorcycle,1,High,High,High,Medium,Medium,High,Medium,High,Medium,High,Medium,High,Medium,High,AJ PARK,Medium,RNP
Female,Engineering,Medium,Motorcycle,1,High,High,High,Medium,Medium,High,Medium,High,Medium,High,Medium,High,Medium,High,AJ PARK,Medium,RNP
Female,Engineering,Medium,Motorcycle,1,High,High,High,Medium,Medium,High,Medium,High,Medium,High,Medium,High,Medium,High,AJ PARK,Medium,RNP
Female,Engineering,Medium,Motorcycle,1,High,High,High,Medium,Medium,High,Medium,High,Medium,High,Medium,High,Medium,High,AJ PARK,Medium,RNP
Female,Engineering,Medium,No,0,Medium,Medium,Not,Little,Little,Medium,Medium,Medium,Medium,Medium,Medium,High,Not,Little,Garden home,Medium,RNP
Female,Science,Medium,Motorcycle,2,High,Medium,Medium,Medium,Medium,Medium,Medium,High,Medium,Medium,Medium,Medium,Medium,Little,Sabai place ,Medium,Nikhom
